Laser Delay [ns];TA [mOD]
-400;0.062356
-390;-0.145942
-380;-0.244882
-370;-0.056010
-360;-0.046962
-350;0.160591
-340;-0.089476
-330;0.004457
-320;-0.224514
-310;-0.266176
-300;-0.552286
-290;-0.205010
-280;0.047921
-270;-0.357590
-260;-0.227101
-250;0.128466
-240;-0.580678
-230;-0.319548
-220;-0.151431
-210;0.155797
-200;-0.223808
-190;-0.116225
-180;-0.448478
-170;-0.145363
-160;-0.234607
-150;-0.226801
-140;-0.157999
-130;-0.193229
-120;-0.213517
-110;-0.199998
-100;-0.323130
-90;-0.160398
-80;-0.376758
-70;-0.027545
-60;-0.242310
-50;-0.452725
-40;-0.246575
-30;0.615477
-20;2.059017
-10;3.668423
0;5.878919
10;7.795253
20;9.868863
30;11.970902
40;13.859782
50;15.976201
60;17.769205
70;20.121313
80;21.663512
90;22.632236
100;23.324990
110;23.493216
120;23.060986
130;23.096992
140;22.641969
150;22.487751
160;22.209575
170;21.855532
180;21.665563
190;21.182491
200;21.307890
210;21.189491
220;20.713193
230;20.386020
240;20.119784
250;19.905993
260;19.962450
270;19.514388
280;19.211960
290;19.055111
300;19.173826
310;18.672444
320;18.469131
330;18.236552
340;17.770635
350;17.813561
360;17.215727
370;17.621285
380;16.980032
390;17.026931
400;16.823982
410;16.537241
420;16.276999
430;16.229344
440;16.224861
450;15.953971
460;15.382147
470;15.552439
480;15.197237
490;15.089335
500;15.108808
510;14.546616
520;14.316849
530;14.412171
540;14.305252
550;13.875825
560;13.937698
570;13.929869
580;13.574782
590;13.322997
600;13.438649
610;13.159659
620;13.149626
630;12.742470
640;12.869545
650;12.442265
660;12.244202
670;12.057957
680;11.995968
690;12.015665
700;11.538807
710;11.868992
720;11.545010
730;11.199443
740;11.399535
750;11.365195
760;10.897629
770;11.095284
780;10.656777
790;10.362067
800;10.563085
810;10.679285
820;10.410106
830;10.220926
840;10.141980
850;10.015577
860;9.753717
870;9.426232
880;9.588409
890;9.736413
900;9.183614
910;9.111627
920;9.373670
930;8.961484
940;9.076496
950;9.045661
960;8.979569
970;8.482745
980;8.571965
990;8.636866
1000;8.303565
1010;8.257494
1020;8.435514
1030;8.009222
1040;7.680042
1050;7.730300
1060;7.706741
1070;7.801721
1080;7.832044
1090;7.504307
1100;7.669887
1110;7.835536
1120;7.251131
1130;7.271631
1140;7.015750
1150;7.122248
1160;7.026804
1170;7.086334
1180;6.769556
1190;6.709508
1200;6.700174
1210;6.759603
1220;6.680159
1230;6.491287
1240;6.569727
1250;6.140073
1260;6.402954
1270;6.358188
1280;5.996853
1290;5.888645
1300;5.863894
1310;5.982787
1320;5.836741
1330;5.692927
1340;5.830282
1350;5.741498
1360;5.656969
1370;5.751246
1380;5.439162
1390;5.513983
1400;5.078986
1410;5.309550
1420;5.193083
1430;5.397563
1440;5.174272
1450;5.061317
1460;4.971553
1470;5.000411
1480;5.161636
1490;5.035642
1500;4.989241
1510;4.714608
1520;4.666018
1530;4.793850
1540;4.593260
1550;4.522731
1560;4.576973
1570;4.181701
1580;4.592140
1590;4.314729
1600;4.274586
1610;4.114408
1620;4.355567
1630;4.349751
1640;4.084164
1650;4.190819
1660;4.066701
1670;4.255548
1680;3.809972
1690;3.969872
1700;3.661695
1710;3.929629
1720;3.885974
1730;3.564722
1740;3.663319
1750;3.666722
1760;3.661361
1770;3.521582
1780;3.745580
1790;3.820319
1800;3.469109
1810;3.415037
1820;3.429233
1830;3.589715
1840;3.337926
1850;3.441428
1860;3.338834
1870;3.538758
1880;3.518780
1890;3.137370
1900;3.335196
1910;3.217911
1920;3.194066
1930;3.354223
1940;2.985723
1950;3.053860
1960;3.075640
1970;2.853235
1980;3.456144
1990;2.710398
2000;2.870266
2010;3.083952
2020;2.794137
2030;2.936596
2040;2.879670
2050;2.738132
2060;2.557980
2070;2.512525
2080;2.863373
2090;2.839942
2100;2.595400
2110;2.619985
2120;2.516982
2130;2.716493
2140;2.704314
2150;2.619547
2160;2.376606
2170;2.048926
2180;2.526264
2190;2.579080
2200;2.292221
2210;2.570910
2220;2.246914
2230;2.359874
2240;2.151345
2250;2.168710
2260;2.349329
2270;2.057426
2280;2.147987
2290;2.116876
2300;2.031547
2310;2.474628
2320;2.128332
2330;2.072402
2340;2.238522
2350;2.298561
2360;2.201236
2370;2.004770
2380;2.059255
2390;1.936134
2400;2.309624
2410;1.690878
2420;1.989620
2430;2.217654
2440;1.860642
2450;1.949539
2460;1.995857
2470;1.777428
2480;2.018287
2490;1.832640
2500;1.685278
2510;1.903012
2520;1.655138
2530;2.094834
2540;1.778747
2550;1.770123
2560;1.830059
2570;1.966775
2580;1.833219
2590;1.828323
2600;1.641563
2610;1.736295
2620;1.893358
2630;1.809160
2640;1.549625
2650;1.524011
2660;1.508856
2670;1.591098
2680;1.486917
2690;1.583265
2700;1.611691
2710;1.479596
2720;1.666398
2730;1.442529
2740;1.450349
2750;1.249858
2760;1.703700
2770;1.300509
2780;1.488992
2790;1.627448
2800;1.675338
2810;1.434316
2820;1.510702
2830;1.381244
2840;1.681049
2850;1.294901
2860;1.539013
2870;1.572032
2880;1.246848
2890;1.170275
2900;1.164169
2910;1.606424
2920;1.199996
2930;1.338620
2940;1.380046
2950;1.285890
2960;1.438229
2970;1.506973
2980;1.306393
2990;1.336807
3000;1.534633
3010;1.405655
3020;1.385352
3030;1.014506
3040;1.214620
3050;1.301572
3060;1.419410
3070;1.444952
3080;1.148118
3090;1.045462
3100;1.027209
3110;1.314150
3120;1.079830
3130;1.331423
3140;0.952737
3150;1.153163
3160;1.118437
3170;0.971004
3180;0.933157
3190;1.300762
3200;1.068872
3210;1.246081
3220;0.957803
3230;0.849671
3240;1.231534
3250;1.441052
3260;1.063589
3270;1.428145
3280;0.891316
3290;0.891089
3300;0.929911
3310;1.068087
3320;1.103040
